path,size,gen,kind,instr_valid,instr_total,fm,midi,syn02,syn04,syn08,track_count,max_fill,row_count,tempo,speed
../MEDIT/LAPMUSIC/SHUT_IT/INGAME6.RLD,18700,0,Adlib,11,11,11,0,0,11,0,8,8,15,48,7
../MEDIT/LAPMUSIC/SHUT_IT/TITLE.ADL,6604,0,Adlib,11,11,11,0,7,4,0,7,7,4,50,6
../MEDIT/LAPMUSIC/SHUT_IT/TITLE.RLD,8072,0,Adlib,11,11,11,0,0,11,0,6,6,4,50,6
../MEDIT/LAPMUSIC/TFX/COLUMBIA.RLD,12970,0,Adlib,17,17,17,0,0,17,0,14,14,11,50,6
../MEDIT/LAPMUSIC/TFX/ENROL.RLD,11944,4,Adlib,22,22,22,0,0,22,0,8,8,10,50,6
../MEDIT/LAPMUSIC/TFX/FAILED.RLD,22362,0,Adlib,15,15,15,0,0,15,0,16,16,11,50,4
../MEDIT/LAPMUSIC/TFX/FX.RLD,9344,4,Adlib,22,63,22,0,0,22,0,10,10,23,33,6
../MEDIT/LAPMUSIC/TFX/LIBYA.RLD,18640,4,Adlib,12,12,12,0,0,12,0,7,7,16,50,6
../MEDIT/LAPMUSIC/TFX/MARITME.RLD,47760,0,Adlib,27,27,27,0,0,27,0,16,16,26,50,4
../MEDIT/LAPMUSIC/TFX/NEWS.RLD,9060,4,Adlib,14,14,14,0,0,14,0,7,7,10,50,6
../MEDIT/LAPMUSIC/TFX/NEWS2.RLD,10984,4,Adlib,8,8,8,0,0,8,0,4,4,10,33,6
../MEDIT/LAPMUSIC/TFX/SOMALIA.RLD,9012,4,Adlib,10,10,10,0,0,10,0,10,10,20,50,6
../MEDIT/LAPMUSIC/TFX/SUCCESS.RLD,17978,0,Adlib,24,24,24,0,0,24,0,7,7,10,50,4
../MEDIT/LAPMUSIC/TFX/YUGO.RLD,18806,4,Adlib,16,16,16,0,0,16,0,16,16,25,50,8
../MEDIT/LAPMUSIC/TFX/BLOCKS/AIR.RLD,57648,4,Adlib,47,47,47,0,0,47,0,16,16,45,50,6
../MEDIT/LAPMUSIC/TFX/BLOCKS/INTERCPT.LAP,66166,4,Adlib,29,29,29,0,0,29,0,16,16,45,50,4
../MEDIT/LAPMUSIC/TFX/BLOCKS/INTERDIC.LAP,61214,4,Adlib,36,36,36,0,0,36,0,16,16,44,50,4
../MEDIT/LAPMUSIC/TFX/BLOCKS/MARITIME.LAP,106180,4,Adlib,46,46,46,0,0,46,0,16,16,90,50,6
